Date,Open,High,Low,Close,Volume,RSI,SmoothedMA
2023-05-25,172.410004,173.899994,171.690002,172.990005,172,43.04098159990921,153.95173498979608
2023-05-26,173.320007,175.770004,173.110001,175.429993,174,48.11252705867024,154.12132618367363
2023-05-30,176.960007,178.990005,176.570007,177.300003,176,62.86917139938317,154.41464261734708
2023-05-31,177.330002,179.350006,176.759995,177.250000,176,63.07693781602707,154.67617312755118
2023-06-01,177.699997,180.119995,176.929993,180.089996,179,62.358753570973604,155.12173395408178
2023-06-02,181.029999,181.779999,179.259995,180.949997,180,73.76733777677855,155.5963765051022
2023-06-05,182.630005,184.949997,178.039993,179.580002,179,77.44124106737158,155.93040721938792
2023-06-06,179.970001,180.119995,177.429993,179.210007,178,71.39599349356244,156.19969341836753
2023-06-07,178.440002,181.210007,177.320007,177.820007,177,68.84394181896964,156.33326533163284
2023-06-08,177.899994,180.839996,177.460007,180.570007,180,58.48133392757701,156.63709232142875
2023-06-09,181.500000,182.229996,180.630005,180.960007,180,64.25936403482538,156.94061316836752
2023-06-12,181.270004,183.889999,180.970001,183.789993,183,68.3695983813908,157.41668402040835
2023-06-13,182.800003,184.149994,182.440002,183.309998,182,82.89404921930799,157.8095409642859
2023-06-14,183.369995,184.389999,182.020004,183.949997,183,80.5215950758431,158.18816314285735
2023-06-15,183.960007,186.520004,183.779999,186.009995,185,79.97814875824729,158.65214231632675
2023-06-16,186.729996,186.990005,184.270004,184.919998,184,79.5531145345542,158.97183604081653
2023-06-20,184.410004,186.100006,184.410004,185.009995,184,72.25470379174251,159.24953972959204
2023-06-21,184.899994,185.410004,182.589996,183.960007,183,72.6107620653406,159.41290758163288
2023-06-22,183.740005,187.050003,183.669998,187.000000,186,62.58953590678322,159.75918306122472
2023-06-23,185.550003,187.559998,185.009995,186.679993,186,67.2365317653738,160.04734577551042
2023-06-26,186.830002,188.050003,185.229996,185.270004,184,71.51518292019574,160.20556031632674
2023-06-27,185.889999,188.389999,185.669998,188.059998,187,67.27484213323538,160.5340295204084
2023-06-28,187.929993,189.899994,187.600006,189.250000,188,77.03279254853084,160.90234585204104
2023-06-29,189.080002,190.070007,188.940002,189.589996,189,74.97129018532559,161.2366313214288
2023-06-30,191.630005,194.479996,191.259995,193.970001,193,74.8990720741634,161.83775393877573
2023-07-03,193.779999,193.880005,191.759995,192.460007,191,76.95982406742378,162.2646423214288
2023-07-05,191.570007,192.979996,190.619995,191.330002,190,72.97847273316827,162.5665812959186
2023-07-06,189.839996,192.020004,189.199997,191.809998,191,68.0882785828309,162.86188731122473
2023-07-07,191.410004,192.669998,190.240005,190.679993,190,65.40917747819162,163.03637663775535
2023-07-10,189.259995,189.990005,187.039993,188.610001,188,65.27042379863678,163.0391828724492
2023-07-11,189.160004,189.300003,186.600006,188.080002,187,58.63726457135296,162.98530548979616
2023-07-12,189.679993,191.699997,188.470001,189.770004,189,60.137794447306746,163.0364792346941
2023-07-13,190.500000,191.190002,189.779999,190.539993,190,57.30101751261177,163.11300935204102
2023-07-14,190.229996,191.179993,189.630005,190.690002,190,59.9382244090207,163.18219320918388
2023-07-17,191.899994,194.320007,191.809998,193.990005,193,64.92291184333382,163.4666323367349
2023-07-18,193.350006,194.330002,192.419998,193.729996,193,65.88111396054322,163.68800959183696
2023-07-19,193.100006,198.229996,192.649994,195.100006,194,62.62681789699711,163.97831614285738
2023-07-20,195.089996,196.470001,192.500000,193.130005,192,64.67768970706369,164.09806136734716
2023-07-21,194.100006,194.970001,191.229996,191.940002,191,47.43277725801461,164.11474510714308
2023-07-24,193.410004,194.910004,192.250000,192.750000,192,48.37903910736288,164.1996429846941
2023-07-25,193.330002,194.440002,192.919998,193.619995,193,54.51652848190483,164.3452038061227
2023-07-26,193.669998,195.639999,193.320007,194.500000,193,55.617614260446004,164.54193848979617
2023-07-27,196.020004,197.199997,192.550003,193.220001,192,62.04288583585829,164.63352017346963
2023-07-28,194.669998,196.630005,194.139999,195.830002,195,65.29526632409687,164.89857127551045
2023-07-31,196.059998,196.490005,195.259995,196.449997,195,72.59472056715485,165.1710709948982
2023-08-01,196.240005,196.729996,195.279999,195.610001,195,70.77110055294091,165.34086694387778
2023-08-02,195.039993,195.179993,191.850006,192.580002,192,65.69659586883586,165.2644384897962
